NumeroLinha;Linha;Nome
2;0100-01;BARREIRO
3;0100-02;BARREIRO
4;0100-03;BARREIRO
5;101;AGLOMERADO SANTA LUCIA/SÃO PEDRO
7;102;NOSSA SENHORA DE FATIMA/HOSPITAL EVANGELICO
9;103;VILA CAFEZAL/RUA POUSO ALTO
11;1030;AVENIDA
12;1030-01;AVENIDA
13;1030-05;AVENIDA
14;1115;FLAVIO MARQUES LISBOA
15;1115-01;FLAVIO MARQUES LISBOA
17;1120A;VALE DO JATOBA
18;1120A-01;VALE DO JATOBA
20;1122A-01;CARDOSO A
21;1122A-05;CARDOSO A
22;1122B;CARDOSO B
24;1129A;MILIONARIOS/CIDADE INDUSTRIAL/NOVA SUICA A
25;1129A-01;MILIONARIOS/CIDADE INDUSTRIAL/NOVA SUICA A
27;1129B-01;MILIONARIOS/CIDADE INDUSTRIAL/NOVA SUICA B
37;1148A-01;MILIONARIOS
38;1148B;BONSUCESSO VIA MILIONARIOS
41;1148B-03;BONSUCESSO VIA MILIONARIOS
44;1207A;BETANIA/SANTA MONICA
45;1207A-01;BETANIA/SANTA MONICA
46;1207A-02;BETANIA/SANTA MONICA
48;1207B-01;CONJUNTO BETANIA/SANTA MONICA
49;1207B-03;CONJUNTO BETANIA/SANTA MONICA
51;1207C;BAIRRO DAS INDUSTRIAS - 4A SECAO/SANTA MONICA
55;1404A-03;NOTURNO
56;1404B;ESTRELA DO ORIENTE / JARDIM INCONFIDENCIA
61;1404R-01;VILA PARAISO/CENTRO VIA MARAJO
63;1404S-01;BETANIA/PALMEIRAS
64;1404S-02;BETANIA/PALMEIRAS
70;1505-03;NOTURNO
71;1505R;CENTRO/CONJUNTO FELICIDADE
73;1505R-02;CENTRO/CONJUNTO FELICIDADE
74;1505R-03;CENTRO/CONJUNTO FELICIDADE
76;1509-02;CALIFORNIA/TUPI
77;1509-05;CALIFORNIA/TUPI
80;201;MORRO DAS PEDRAS/HOSPITAL MADRE TERESA
